enroll,SAT,GPA,scholarship
0,1507,3.72,16400.0
0,1532,3.93,5200.0
0,1487,3.77,16700.0
1,1259,3.05,12100.0
1,1354,3.39,16500.0
0,1334,3.22,0.0
1,1125,2.73,16800.0
1,1180,2.82,0.0
1,1098,2.91,0.0
1,1116,2.95,0.0
0,1512,3.88,0.0
0,1332,3.36,10200.0
0,1306,3.46,11200.000000000002
0,1419,3.51,17400.0
0,1555,3.91,0.0
0,1406,3.34,10300.0
1,1068,2.68,10400.0
0,1537,3.99,24900.000000000004
1,1106,2.65,19900.0
0,1495,3.68,0.0
0,1529,3.89,17700.0
1,1217,3.09,0.0
0,1423,3.4,13600.000000000002
1,1031,2.59,21900.0
1,1188,3.01,18000.0
1,1019,2.49,10200.0
0,1554,3.91,0.0
0,1393,3.65,20000.0
1,1201,2.96,0.0
0,1573,3.84,6600.0
0,1363,3.45,12800.0
1,1017,2.39,0.0
0,1292,3.12,0.0
1,1003,2.45,0.0
0,1439,3.45,18400.0
0,1562,3.78,11900.0
0,1544,3.79,22200.000000000004
0,1407,3.46,5900.0
0,1531,3.94,0.0
1,1077,2.53,0.0
0,1370,3.37,5400.0
1,1184,2.94,0.0
0,1486,3.85,21900.0
1,1299,3.06,21400.0
0,1566,3.85,16800.0
0,1406,3.44,17800.0
1,1247,3.1,8900.0
1,1436,3.48,23500.0
1,1258,3.03,13500.0
1,1293,3.39,13400.0
0,1361,3.34,13400.0
1,1338,3.28,11700.0
1,1139,2.93,7700.0
0,1443,3.41,0.0
1,1082,2.79,0.0
1,1129,2.81,0.0
1,1180,3.01,12700.0
0,1570,3.86,10500.0
1,1159,2.73,0.0
0,1485,3.9,23900.0
1,1340,3.25,23100.0
1,1289,3.15,7100.0
0,1220,3.23,0.0
0,1313,3.21,0.0
0,1519,3.95,13899.999999999998
1,1332,3.46,18100.0
1,1240,3.09,13000.0
1,1164,2.94,0.0
0,1580,3.76,0.0
0,1366,3.42,0.0
0,1277,3.35,0.0
1,1252,3.0,6200.0
0,1268,3.07,0.0
1,1179,2.93,0.0
1,1318,3.46,21500.0
1,1045,2.81,19200.0
0,1392,3.5,11299.999999999998
1,1102,2.92,0.0
0,1295,3.35,0.0
1,1205,2.92,0.0
0,1410,3.53,0.0
1,1027,2.54,0.0
1,1132,2.94,20500.0
0,1537,3.67,14700.0
0,1462,3.52,13600.000000000002
0,1442,3.73,0.0
1,1101,2.61,11900.0
1,1127,2.74,19600.0
0,1368,3.53,5500.0
0,1535,3.83,0.0
0,1528,3.92,16000.0
1,1015,2.39,0.0
0,1483,3.52,5100.0
0,1365,3.49,12100.0
1,1325,3.13,23500.0
