wage,year,age,education,healthy,healthins,marital,race
75.0431540173515,2006,18,0,0,0,never,white
70.47601964694451,2004,24,3,1,0,never,white
130.982177377461,2003,45,2,0,1,married,white
154.68529299563,2003,43,3,1,1,married,asian
75.0431540173515,2005,50,1,0,1,divorced,white
127.115743812184,2008,54,3,1,1,married,white
169.528538036679,2009,44,2,1,1,married,other
111.720849360989,2008,30,2,0,1,never,asian
118.884359339886,2006,41,2,1,1,never,black
128.680488220624,2004,52,1,1,1,married,white
117.146816914805,2007,45,2,0,1,divorced,white
81.2832532842527,2007,34,1,1,0,married,white
89.49247951800008,2005,35,1,1,1,never,white
134.705375118879,2003,39,3,1,1,married,white
134.705375118879,2009,54,1,1,1,married,white
90.48191335664008,2009,51,2,1,1,married,white
82.6796372966372,2003,37,3,1,0,never,asian
212.842352315711,2006,50,4,1,0,married,white
129.156693004704,2007,56,3,0,1,married,white
98.5993438603892,2003,37,2,1,1,never,white
200.543262324662,2003,38,3,1,0,married,asian
50.406660861266005,2005,40,1,1,0,divorced,white
85.3839403789827,2009,75,3,1,1,married,white
160.642475408263,2007,40,3,1,0,married,white
94.0727147457005,2006,38,1,0,0,never,white
277.601417511009,2005,49,4,1,1,married,white
84.0459576539924,2006,43,1,0,1,married,white
65.1108537153447,2004,34,1,0,1,married,other
116.265324062503,2008,57,1,1,0,married,white
70.47601964694451,2003,18,1,1,1,never,black
195.67630799045295,2004,55,4,1,1,married,white
101.402052302992,2005,51,2,1,1,married,white
81.2832532842527,2008,33,4,1,0,never,white
111.720849360989,2005,34,1,1,0,never,white
89.8800467811106,2006,36,3,1,1,married,white
87.98103278560541,2003,56,4,0,1,never,white
87.98103278560541,2006,70,3,0,1,never,white
103.90247060316,2004,25,3,1,1,never,white
105.927810775063,2006,32,2,1,0,married,white
66.2294082943902,2003,27,0,1,0,married,white
34.6074177301288,2004,28,3,1,0,married,asian
109.833985642199,2007,27,3,1,1,never,white
45.282169994022,2004,43,0,0,0,never,white
73.77574327469459,2005,50,0,0,1,never,other
81.2832532842527,2004,39,1,1,0,married,black
154.68529299563,2008,52,4,1,1,married,white
267.901086855275,2009,35,3,1,1,married,white
176.98965048987702,2007,57,4,1,1,married,white
66.2294082943902,2006,25,0,1,0,never,white
116.265324062503,2006,33,1,0,1,never,white
200.543262324662,2005,57,4,1,0,married,white
101.82435207568,2008,71,2,1,1,married,white
272.294783220064,2004,43,3,1,1,married,white
35.0334213214995,2003,23,2,1,0,never,white
114.475713290347,2009,30,4,1,1,never,white
81.2832532842527,2004,22,1,1,1,never,black
200.543262324662,2006,59,4,0,1,married,white
148.413159102577,2003,28,3,1,1,never,asian
99.6894636984864,2004,61,1,1,1,married,white
111.720849360989,2003,34,1,1,1,married,white
152.838800991182,2005,43,3,1,1,married,white
117.146816914805,2006,54,2,1,0,married,white
77.73760330397809,2005,69,1,0,1,married,white
87.98103278560541,2004,41,2,0,1,married,white
125.525498433836,2003,48,4,1,1,married,white
123.336103962059,2003,49,2,1,1,married,white
158.294621427791,2009,42,1,1,1,married,white
200.543262324662,2003,37,3,1,1,married,white
99.6894636984864,2004,55,1,1,1,married,asian
70.47601964694451,2008,21,1,1,0,never,black
94.0727147457005,2004,58,1,1,1,married,white
81.2832532842527,2006,31,1,1,0,never,white
81.2832532842527,2006,25,1,1,1,never,white
100.764272842107,2006,32,2,1,1,never,white
94.0727147457005,2009,40,0,1,1,never,black
99.6894636984864,2003,44,4,1,0,married,white
268.266292012557,2003,60,3,1,1,married,white
81.2832532842527,2006,23,0,0,1,never,white
113.567089569751,2003,63,1,1,0,married,white
87.98103278560541,2008,44,0,0,0,never,white
128.680488220624,2005,47,4,0,1,married,asian
106.723977625299,2004,61,2,1,1,married,white
66.04469423180561,2009,55,4,1,0,married,white
51.52195631471599,2003,24,0,0,0,never,white
85.3839403789827,2007,42,1,1,1,widowed,white
76.8936025176112,2006,25,1,1,1,married,white
90.48191335664008,2004,34,1,1,0,divorced,white
68.0764282889521,2009,53,0,1,0,married,white
130.982177377461,2009,53,3,1,1,married,white
127.901232979118,2009,70,4,0,0,married,asian
131.224593755096,2004,47,3,1,1,married,white
99.6894636984864,2003,46,1,1,1,married,white
76.8936025176112,2003,33,0,0,1,divorced,white
107.903923866876,2005,34,4,1,1,married,white
81.2832532842527,2006,22,1,0,0,never,white
99.6894636984864,2009,74,1,1,1,married,white
98.5993438603892,2003,40,2,0,1,married,black
200.543262324662,2006,45,3,1,1,married,white
156.503510882633,2009,43,3,1,1,married,asian
144.944364980516,2005,33,3,1,1,married,asian
118.884359339886,2009,62,3,1,1,married,black
121.430313822622,2008,37,3,1,1,married,white
111.720849360989,2004,54,1,0,1,married,white
68.7480877337669,2005,34,2,1,0,married,white
114.475713290347,2008,50,3,1,1,never,white
95.23071256698192,2006,46,2,0,1,divorced,white
87.98103278560541,2007,41,0,1,0,married,white
64.27439722063271,2003,63,2,0,1,divorced,black
128.680488220624,2007,38,2,0,1,married,white
114.475713290347,2006,35,2,1,1,married,white
112.6488963421,2009,29,3,0,1,married,white
81.2832532842527,2008,66,0,1,1,married,white
75.8954848228103,2004,37,1,0,1,married,white
112.136922992214,2006,39,1,1,1,married,black
85.3839403789827,2003,42,1,1,0,married,white
94.0727147457005,2007,51,1,1,1,divorced,white
114.475713290347,2009,55,4,0,1,married,asian
176.98965048987702,2006,51,4,1,1,married,white
276.778413321176,2008,38,4,0,1,married,white
101.82435207568,2005,49,1,1,1,married,white
91.6992261117042,2006,42,1,1,0,married,white
86.6951548289402,2009,43,0,0,0,separated,white
162.946460744664,2006,38,3,1,1,married,white
139.213788138664,2008,59,1,1,1,married,asian
95.23071256698192,2009,57,2,0,1,married,white
66.9616443217359,2005,25,1,0,0,never,white
131.194323611687,2004,49,3,0,1,married,white
90.48191335664008,2004,41,0,1,1,married,white
114.475713290347,2009,38,1,1,1,married,white
79.12808449562971,2003,61,4,1,1,married,white
104.591737924918,2007,49,1,0,1,divorced,white
132.487821126123,2008,52,4,1,1,divorced,white
141.77517233318,2007,43,4,1,1,married,white
123.089699847943,2008,60,3,1,1,married,white
134.705375118879,2005,46,4,1,1,married,asian
55.7673905084923,2004,21,1,1,0,never,white
106.921814091211,2009,61,3,1,1,married,white
118.884359339886,2007,32,4,1,1,married,black
87.98103278560541,2004,58,1,0,1,married,white
88.9296066367913,2003,35,1,1,1,never,white
81.2832532842527,2004,26,1,1,1,never,black
94.0727147457005,2006,32,1,1,0,never,black
106.921814091211,2003,37,1,1,1,married,white
59.097064081589096,2007,22,1,0,0,never,asian
65.1108537153447,2005,51,1,0,0,never,white
120.589436530402,2004,44,4,0,1,divorced,white
157.700527725737,2005,35,4,1,1,married,asian
129.453644576625,2004,60,1,1,1,married,white
176.98965048987702,2007,40,3,1,1,married,white
59.097064081589096,2004,35,0,1,0,never,white
94.0727147457005,2007,35,4,1,0,married,white
134.705375118879,2008,47,1,1,1,married,white
81.2832532842527,2003,43,3,1,1,never,white
81.2832532842527,2003,33,0,0,1,married,white
153.45751530896098,2003,60,4,1,1,divorced,white
136.876367635184,2008,38,4,1,1,married,asian
75.0431540173515,2005,53,1,1,0,married,white
130.22083235877702,2004,55,2,1,1,married,white
104.921506533664,2003,57,1,0,0,married,black
49.555338121522595,2005,64,3,0,0,married,white
123.908567597957,2007,43,1,0,1,married,white
123.089699847943,2008,35,2,1,1,married,black
78.155161407934,2008,54,1,1,0,married,white
73.77574327469459,2007,45,1,0,1,married,white
138.299126920883,2003,58,3,1,1,divorced,asian
127.115743812184,2007,48,3,0,0,married,white
68.7480877337669,2003,46,0,1,1,married,asian
84.39111474778001,2004,46,1,1,1,married,white
85.3839403789827,2009,55,0,1,1,married,white
128.680488220624,2006,51,2,1,1,married,white
70.47601964694451,2005,49,2,1,1,married,white
76.8936025176112,2008,34,2,1,1,never,white
148.413159102577,2007,53,2,1,0,married,white
148.413159102577,2004,40,2,1,1,married,white
175.960883130401,2009,50,2,1,1,married,white
98.5993438603892,2006,37,0,0,1,divorced,white
145.143601176911,2003,39,2,1,1,married,white
99.6894636984864,2004,52,3,0,1,married,white
141.08887439127,2003,50,1,1,1,married,white
123.089699847943,2006,48,3,1,1,married,white
129.453644576625,2006,47,1,1,1,married,white
111.720849360989,2005,27,3,1,1,married,white
103.90247060316,2006,39,1,1,1,married,white
118.884359339886,2009,44,1,0,1,married,black
151.591484239814,2003,37,2,1,1,married,black
101.82435207568,2006,52,1,0,0,married,white
99.6894636984864,2004,26,2,1,1,never,asian
99.6894636984864,2008,39,4,0,1,married,asian
99.6894636984864,2006,25,1,0,0,married,black
94.0727147457005,2005,31,3,1,0,never,white
152.216806827106,2004,58,2,0,1,married,white
104.921506533664,2005,30,3,1,1,married,white
65.1108537153447,2004,27,0,0,1,married,white
95.23071256698192,2003,40,1,1,1,divorced,white
173.879493310012,2006,55,4,1,1,married,white
193.411070530969,2009,35,4,1,1,married,asian
114.475713290347,2008,48,1,0,0,married,white
160.642475408263,2006,29,3,0,1,never,asian
89.49247951800008,2005,25,2,1,1,never,white
120.589436530402,2004,40,2,1,1,married,white
73.77574327469459,2006,27,0,0,0,married,white
127.115743812184,2006,44,1,1,1,married,white
118.884359339886,2006,49,2,1,1,married,white
34.6074177301288,2003,22,2,0,0,never,white
114.475713290347,2007,45,2,0,1,married,white
85.3839403789827,2007,33,2,1,0,married,white
318.342430056529,2007,63,4,1,1,married,black
141.77517233318,2006,49,3,1,1,never,black
130.982177377461,2005,39,4,1,1,never,white
73.77574327469459,2007,25,0,0,0,never,other
130.982177377461,2005,29,4,1,1,never,white
75.0431540173515,2006,37,1,1,1,married,white
154.990260276812,2008,35,4,0,1,married,white
104.921506533664,2009,46,1,0,1,married,white
73.118306923864,2008,58,3,1,1,married,white
123.089699847943,2003,39,4,1,1,married,white
157.700527725737,2008,41,3,1,1,married,white
81.2832532842527,2008,29,3,1,1,married,black
107.256062128429,2009,37,3,0,1,married,white
78.9816745162994,2009,62,1,0,0,married,white
73.77574327469459,2008,27,1,1,1,never,black
94.0727147457005,2003,37,1,0,1,married,white
99.6894636984864,2006,56,3,0,0,separated,asian
176.98965048987702,2004,36,2,1,1,married,white
73.77574327469459,2005,23,1,1,0,never,other
99.6894636984864,2003,46,2,1,1,married,white
94.0727147457005,2009,26,2,1,0,never,white
95.23071256698192,2006,43,0,1,1,married,white
127.115743812184,2007,36,1,1,1,married,white
99.6894636984864,2003,54,2,0,1,separated,white
95.6888119067371,2003,62,1,1,1,married,white
109.833985642199,2006,40,1,1,1,married,white
118.884359339886,2006,53,2,1,1,married,white
176.98965048987702,2007,48,4,1,1,married,white
61.1875264339915,2004,23,3,1,0,married,white
81.2832532842527,2009,34,1,1,1,married,white
256.40064956242503,2004,43,3,1,0,married,white
81.2832532842527,2006,55,1,0,1,married,white
81.2832532842527,2007,59,1,1,1,never,white
55.7673905084923,2007,60,1,1,0,married,white
75.3556793180091,2009,49,1,1,1,never,white
130.982177377461,2006,45,2,1,1,married,asian
43.735111677982104,2006,31,1,1,0,divorced,white
114.475713290347,2004,34,3,0,1,never,white
114.475713290347,2005,26,4,1,1,never,white
81.2832532842527,2007,22,1,1,0,never,white
68.5721657022738,2004,40,1,0,0,married,white
109.833985642199,2009,41,2,1,1,married,white
97.4932940453934,2006,36,2,1,1,never,black
62.398354720568506,2007,38,0,1,0,married,white
97.4932940453934,2003,48,1,1,0,married,white
134.705375118879,2006,47,2,1,1,married,white
61.1875264339915,2005,47,0,0,0,separated,white
118.884359339886,2007,35,3,0,0,married,white
65.1108537153447,2008,49,1,1,1,married,asian
109.833985642199,2004,40,2,1,1,married,white
104.921506533664,2004,32,3,1,0,widowed,asian
73.77574327469459,2008,57,3,1,1,married,white
141.77517233318,2008,56,3,1,1,married,white
90.48191335664008,2009,73,0,0,0,married,white
73.77574327469459,2007,29,1,0,1,never,white
134.705375118879,2003,49,4,1,1,married,asian
109.833985642199,2009,30,1,1,1,never,white
91.6992261117042,2008,29,1,1,1,married,white
95.23071256698192,2004,36,2,1,0,married,white
156.503510882633,2009,39,4,1,1,married,white
104.921506533664,2007,48,3,1,1,married,white
99.6894636984864,2006,45,3,1,1,married,black
54.59815003314421,2004,50,3,0,0,married,white
32.3664131748549,2003,42,3,1,1,married,white
118.884359339886,2007,58,2,0,0,married,white
109.833985642199,2007,48,1,1,1,married,white
109.833985642199,2003,48,3,1,1,married,white
118.884359339886,2005,45,2,1,1,married,white
110.782650276254,2007,41,2,1,1,divorced,white
93.5572673479306,2008,27,1,1,1,never,white
109.833985642199,2004,44,1,1,1,married,white
118.884359339886,2003,32,3,1,1,married,white
118.884359339886,2006,46,0,1,1,married,white
52.15617116991471,2005,52,1,0,0,married,black
43.735111677982104,2003,22,2,1,0,never,white
117.146816914805,2004,53,1,1,1,widowed,white
118.884359339886,2008,34,4,0,1,married,white
148.413159102577,2009,38,1,1,1,married,white
101.82435207568,2009,42,0,1,1,married,white
94.0727147457005,2005,25,2,1,1,never,black
